date,cycle_cohort_pmr_cents,path_cohort_pmr_cents,advantage_cents
2018-01-01,0,0,0
2018-01-02,0,0,0
2018-01-03,3369772,3369772,0
2018-01-04,3369772,3369772,0
2018-01-05,40949786,82126993/2,227421/2
2018-01-06,40949786,82126993/2,227421/2
2018-01-07,40949786,82126993/2,227421/2
2018-01-08,40949786,82126993/2,227421/2
2018-01-09,40949786,82126993/2,227421/2
2018-01-10,40949786,82126993/2,227421/2
2018-01-11,42004906,84237233/2,227421/2
2018-01-12,42004906,84237233/2,227421/2
2018-01-13,42004906,48140860,6135954
2018-01-14,42004906,48140860,6135954
2018-01-15,42004906,48140860,6135954
2018-01-16,47677856,53813810,6135954
2018-01-17,80671774,173668171/2,12324623/2
2018-01-18,80671774,173668171/2,12324623/2
2018-01-19,80671774,173677821/2,12334273/2
2018-01-20,80671774,173677821/2,12334273/2
2018-01-21,80671774,173677821/2,12334273/2
2018-01-22,80673968,173682209/2,12334273/2
2018-01-23,84480986,205531279/2,36569307/2
2018-01-24,87152454,210874215/2,36569307/2
2018-01-25,91395424,219379455/2,36588607/2
2018-01-26,91904148,220396903/2,36588607/2
2018-01-27,91904148,220396903/2,36588607/2
2018-01-28,91904148,220396903/2,36588607/2
2018-01-29,91904148,220396903/2,36588607/2
2018-01-30,91904148,220396903/2,36588607/2
2018-01-31,94887998,113261185,18373187
2018-02-01,106997300,426994389/2,212999789/2
2018-02-02,108063798,429127385/2,212999789/2
2018-02-03,108063798,429127385/2,212999789/2
2018-02-04,108063798,429127385/2,212999789/2
2018-02-05,108063798,442343921/2,226216325/2
2018-02-06,115294230,456804785/2,226216325/2
2018-02-07,115294230,456804785/2,226216325/2
2018-02-08,115651436,456953969/2,225651097/2
2018-02-09,115651436,457197569/2,225894697/2
2018-02-10,115651436,457197569/2,225894697/2
2018-02-11,115651436,457197569/2,225894697/2
2018-02-12,115651436,457205823/2,225902951/2
2018-02-13,115907964,470896973/2,239081045/2
2018-02-14,115907964,475093883/2,243277955/2
2018-02-15,115907964,475093883/2,243277955/2
2018-02-16,117248380,481231133/2,246734373/2
2018-02-17,117248380,481231133/2,246734373/2
2018-02-18,118148380,486470163/2,250173403/2
2018-02-19,118148380,486682249/2,250385489/2
2018-02-20,118363350,492878405/2,256151705/2
2018-02-21,126022128,504971449/2,252927193/2
2018-02-22,126922128,505571449/2,251727193/2
2018-02-23,127953952,256400455,128446503
2018-02-24,127953952,256400455,128446503
2018-02-25,127953952,256400455,128446503
2018-02-26,129105272,319887099,190781827
2018-02-27,129409496,323155641,193746145
2018-02-28,138418582,734053309/2,457216145/2
2018-03-01,138418582,735346847/2,458509683/2
2018-03-02,138418582,735686555/2,458849391/2
2018-03-03,138418582,735686555/2,458849391/2
2018-03-04,138418582,735686555/2,458849391/2
2018-03-05,148738538,756326467/2,458849391/2
2018-03-06,155742578,770334547/2,458849391/2
2018-03-07,161065288,780979967/2,458849391/2
2018-03-08,173507024,805863439/2,458849391/2
2018-03-09,173507024,805863439/2,458849391/2
2018-03-10,173507024,805863439/2,458849391/2
2018-03-11,173507024,805863439/2,458849391/2
2018-03-12,174096496,807331315/2,459138323/2
2018-03-13,182728414,830849971/2,465393143/2
2018-03-14,182728414,831148471/2,465691643/2
2018-03-15,192524806,862300029/2,477250417/2
2018-03-16,195430110,868110637/2,477250417/2
2018-03-17,195430110,868110637/2,477250417/2
2018-03-18,195430110,868110637/2,477250417/2
2018-03-19,195430110,868110637/2,477250417/2
2018-03-20,198890398,875031213/2,477250417/2
2018-03-21,209191056,893313221/2,474931109/2
2018-03-22,209191056,893313221/2,474931109/2
2018-03-23,209191056,893384641/2,475002529/2
2018-03-24,209191056,893384641/2,475002529/2
2018-03-25,209191056,893403941/2,475021829/2
2018-03-26,209191056,893403941/2,475021829/2
2018-03-27,210516740,896070109/2,475036629/2
2018-03-28,210516740,896070109/2,475036629/2
2018-03-29,211138414,897706157/2,475429329/2
2018-03-30,213099072,901731493/2,475533349/2
2018-03-31,213527472,904490375/2,477435431/2
2018-04-01,213527472,904490375/2,477435431/2
2018-04-02,214296454,908204325/2,479611417/2
2018-04-03,214296454,908208765/2,479615857/2
2018-04-04,214296454,1059898281/2,631305373/2
2018-04-05,214296454,1059898281/2,631305373/2
2018-04-06,214296454,1059898281/2,631305373/2
2018-04-07,214296454,1059898281/2,631305373/2
2018-04-08,214296454,1059898281/2,631305373/2
2018-04-09,214296454,1059898281/2,631305373/2
2018-04-10,218037590,1067380553/2,631305373/2
2018-04-11,219692538,1070690449/2,631305373/2
2018-04-12,225017450,1081653709/2,631618809/2
2018-04-13,225017450,1081653709/2,631618809/2
2018-04-14,225017450,1081653709/2,631618809/2
2018-04-15,225017450,1081653709/2,631618809/2
2018-04-16,229031342,1089681493/2,631618809/2
2018-04-17,256231858,1144082525/2,631618809/2
2018-04-18,256241748,1144102305/2,631618809/2
2018-04-19,256241748,1144102305/2,631618809/2
2018-04-20,256241748,1144102305/2,631618809/2
2018-04-21,256241748,1144102305/2,631618809/2
2018-04-22,256241748,1144102305/2,631618809/2
2018-04-23,256241748,1144102305/2,631618809/2
2018-04-24,258822646,1148064101/2,630418809/2
2018-04-25,258822646,1148064101/2,630418809/2
2018-04-26,258822646,1148064101/2,630418809/2
2018-04-27,273122286,1176663381/2,630418809/2
2018-04-28,273122286,1176663381/2,630418809/2
2018-04-29,273122286,1176663381/2,630418809/2
2018-04-30,275123268,1194017439/2,643770903/2
2018-05-01,275123268,1194017439/2,643770903/2
2018-05-02,275123268,1194513683/2,644267147/2
2018-05-03,275123268,1194513683/2,644267147/2
2018-05-04,275123268,1194552283/2,644305747/2
2018-05-05,275123268,1194552283/2,644305747/2
2018-05-06,275123268,1194552283/2,644305747/2
2018-05-07,277374194,1201577055/2,646828667/2
2018-05-08,277772428,1202373523/2,646828667/2
2018-05-09,277772428,1203003271/2,647458415/2
2018-05-10,279832092,1207122599/2,647458415/2
2018-05-11,279832092,1207122599/2,647458415/2
2018-05-12,279832092,1207122599/2,647458415/2
2018-05-13,279832092,1207122599/2,647458415/2
2018-05-14,279832092,1209183223/2,649519039/2
2018-05-15,286037120,1221593279/2,649519039/2
2018-05-16,286037120,1221593279/2,649519039/2
2018-05-17,286037120,1222364399/2,650290159/2
2018-05-18,286545840,1223744361/2,650652681/2
2018-05-19,286545840,1227725625/2,654633945/2
2018-05-20,286545840,1227725625/2,654633945/2
2018-05-21,292681933,1238910245/2,653546379/2
2018-05-22,292681933,1238917965/2,653554099/2
2018-05-23,292681933,1238971365/2,653607499/2
2018-05-24,292681933,1238971365/2,653607499/2
2018-05-25,319317901,1299721611/2,661085809/2
2018-05-26,319317901,1299721611/2,661085809/2
2018-05-27,319317901,1299721611/2,661085809/2
2018-05-28,319317901,1299721611/2,661085809/2
2018-05-29,319317901,1299721611/2,661085809/2
2018-05-30,323958901,1311033503/2,663115701/2
2018-05-31,328649995,1324838419/2,667538429/2
2018-06-01,329434795,1326408019/2,667538429/2
2018-06-02,329434795,1326408019/2,667538429/2
2018-06-03,329434795,1326408019/2,667538429/2
2018-06-04,390514859,1449032489/2,668002771/2
2018-06-05,414580896,1565728767/2,736566975/2
2018-06-06,434421998,1605410971/2,736566975/2
2018-06-07,435842798,1608252571/2,736566975/2
2018-06-08,435842798,1608252571/2,736566975/2
2018-06-09,435842798,1608252571/2,736566975/2
2018-06-10,435842798,1608252571/2,736566975/2
2018-06-11,435842798,1754580807/2,882895211/2
2018-06-12,435842798,1787862351/2,916176755/2
2018-06-13,435842798,1787862351/2,916176755/2
2018-06-14,439740066,1792947575/2,913467443/2
2018-06-15,439740066,1799373575/2,919893443/2
2018-06-16,442215666,1804324775/2,919893443/2
2018-06-17,442215666,1804324775/2,919893443/2
2018-06-18,442215666,1804324775/2,919893443/2
2018-06-19,442225912,1804345267/2,919893443/2
2018-06-20,442225912,1804783249/2,920331425/2
2018-06-21,449313912,1817759249/2,919131425/2
2018-06-22,449313912,1817759249/2,919131425/2
2018-06-23,449313912,1817759249/2,919131425/2
2018-06-24,449313912,1817759249/2,919131425/2
2018-06-25,451330342,1821792109/2,919131425/2
2018-06-26,454015472,1827162369/2,919131425/2
2018-06-27,456934162,1857179029/2,943310705/2
2018-06-28,456934162,1857179029/2,943310705/2
2018-06-29,471847268,1889700275/2,946005739/2
2018-06-30,499112052,1966045663/2,967821559/2
2018-07-01,499112052,1966085663/2,967861559/2
2018-07-02,499112052,1966543523/2,968319419/2
2018-07-03,499912052,1968143523/2,968319419/2
2018-07-04,501266712,1971407323/2,968873899/2
2018-07-05,501266712,1971489823/2,968956399/2
2018-07-06,501266712,1971489823/2,968956399/2
2018-07-07,502417662,1971489823/2,966654499/2
2018-07-08,502417662,1971489823/2,966654499/2
2018-07-09,502577478,1972168759/2,967013803/2
2018-07-10,503265126,1973544055/2,967013803/2
2018-07-11,523358554,2203214055/2,1156496947/2
2018-07-12,526172190,2211370705/2,1159026325/2
2018-07-13,526348694,2213125955/2,1160428567/2
2018-07-14,526348694,2213125955/2,1160428567/2
2018-07-15,526348694,2213125955/2,1160428567/2
2018-07-16,526506926,2213904929/2,1160891077/2
2018-07-17,527999664,2216522929/2,1160523601/2
2018-07-18,528122194,2216660255/2,1160415867/2
2018-07-19,528216662,2237921033/2,1181487709/2
2018-07-20,533798844,2248715957/2,1181118269/2
2018-07-21,533798844,2248715957/2,1181118269/2
2018-07-22,533798844,2248715957/2,1181118269/2
2018-07-23,533939290,2250906643/2,1183028063/2
2018-07-24,539077144,2260803669/2,1182649381/2
2018-07-25,539147440,2262545829/2,1184250949/2
2018-07-26,539256770,2262545829/2,1184032289/2
2018-07-27,539256770,2262677919/2,1184164379/2
2018-07-28,539256770,2262677919/2,1184164379/2
2018-07-29,539256770,2262677919/2,1184164379/2
2018-07-30,539256770,2262677919/2,1184164379/2
2018-07-31,570629628,2357307957/2,1216048701/2
2018-08-01,570629628,2358500595/2,1217241339/2
2018-08-02,570629628,2366029809/2,1224770553/2
2018-08-03,570629628,2367261359/2,1226002103/2
2018-08-04,570629628,2367261359/2,1226002103/2
2018-08-05,570629628,2367261359/2,1226002103/2
2018-08-06,570777986,2367851235/2,1226295263/2
2018-08-07,570918366,2367851235/2,1226014503/2
2018-08-08,571505060,2367851235/2,1224841115/2
2018-08-09,571694420,2368346835/2,1224957995/2
2018-08-10,571732324,2368346835/2,1224882187/2
2018-08-11,571732324,2368346835/2,1224882187/2
2018-08-12,571732324,2368346835/2,1224882187/2
2018-08-13,571865298,2368746835/2,1225016239/2
2018-08-14,572001750,2374420317/2,1230416817/2
2018-08-15,572001750,2374420317/2,1230416817/2
2018-08-16,572129660,2374420317/2,1230160997/2
2018-08-17,572213052,2374420317/2,1229994213/2
2018-08-18,572213052,2374420317/2,1229994213/2
2018-08-19,572213052,2374420317/2,1229994213/2
2018-08-20,572345960,2377669017/2,1232977097/2
2018-08-21,573120900,2379525179/2,1233283379/2
2018-08-22,577838164,2388979617/2,1233303289/2
2018-08-23,577951896,2391185877/2,1235282085/2
2018-08-24,580330755,2394849109/2,1234187599/2
2018-08-25,580330755,2394849109/2,1234187599/2
2018-08-26,580330755,2394849109/2,1234187599/2
2018-08-27,580330755,2396309407/2,1235647897/2
2018-08-28,585058618,2405692319/2,1235575083/2
2018-08-29,586162312,2411714395/2,1239389771/2
2018-08-30,586198592,2413232835/2,1240835651/2
2018-08-31,615619938,2585147271/2,1353907395/2
2018-09-01,615979306,2585866007/2,1353907395/2
2018-09-02,615979306,2585866007/2,1353907395/2
2018-09-03,616977712,2587464251/2,1353508827/2
2018-09-04,617194170,2587702299/2,1353313959/2
2018-09-05,618021302,2595206819/2,1359164215/2
2018-09-06,618182286,2596569121/2,1360204549/2
2018-09-07,618315780,2596569121/2,1359937561/2
2018-09-08,618315780,2596569121/2,1359937561/2
2018-09-09,618315780,2596569121/2,1359937561/2
2018-09-10,618616020,2596569121/2,1359337081/2
2018-09-11,618893142,2596723625/2,1358937341/2
2018-09-12,619580992,2601200267/2,1362038283/2
2018-09-13,619660396,2601860387/2,1362539595/2
2018-09-14,619773660,2607528827/2,1367981507/2
2018-09-15,619773660,2607528827/2,1367981507/2
2018-09-16,619773660,2607528827/2,1367981507/2
2018-09-17,619925258,2611450997/2,1371600481/2
2018-09-18,620146336,2611893153/2,1371600481/2
2018-09-19,620361408,2613037553/2,1372314737/2
2018-09-20,620697074,2613037553/2,1371643405/2
2018-09-21,621999807,2613860623/2,1369861009/2
2018-09-22,621999807,2613860623/2,1369861009/2
2018-09-23,621999807,2613860623/2,1369861009/2
2018-09-24,622222391,2622784323/2,1378339541/2
2018-09-25,623414103,2626242573/2,1379414367/2
2018-09-26,625939819,2631182543/2,1379302905/2
