date,cycle_cohort_pmr_cents,path_cohort_pmr_cents,advantage_cents
2021-01-01,20113639,17379673,-2733966
2021-01-02,39612353,50291057/2,-28933649/2
2021-01-03,86827651,66080069/2,-107575233/2
2021-01-04,283696474,1657815843/2,1090422895/2
2021-01-05,573476931,1533548312,960071381
2021-01-06,7620866509,7873296142,252429633
2021-01-07,8027071387,8059222421,32151034
2021-01-08,8319421625,16758604521/2,119761271/2
2021-01-09,8338169326,8398805136,60635810
2021-01-10,8340906411,8402344457,61438046
2021-01-11,8506391522,18754705677/2,1741922633/2
2021-01-12,11247547149,24148453609/2,1653359311/2
2021-01-13,11572982365,12482396380,909414015
2021-01-14,11734230507,25452185565/2,1983724551/2
2021-01-15,13139619733,28578202769/2,2298963303/2
2021-01-16,13170765246,28640606357/2,2299075865/2
2021-01-17,13172597628,28668057641/2,2322862385/2
2021-01-18,14027270579,30497796261/2,2443255103/2
2021-01-19,14401396314,15856739899,1455343585
2021-01-20,15068836245,33476576327/2,3338903837/2
2021-01-21,16021575506,35628614331/2,3585463319/2
2021-01-22,17411875265,19097586402,1685711137
2021-01-23,17450918340,19139500542,1688582202
2021-01-24,17455522056,19147128208,1691606152
2021-01-25,19048673894,20998252722,1949578828
2021-01-26,19702668861,42570683607/2,3165345885/2
2021-01-27,19938110530,21807149817,1869039287
2021-01-28,20552639201,44942396601/2,3837118199/2
2021-01-29,22357323253,24366959770,2009636517
2021-01-30,22491070343,49056342039/2,4074201353/2
2021-01-31,53631542086,59125202807,5493660721
2021-02-01,54268941055,121153971549/2,12616089439/2
2021-02-02,54499769657,60764315562,6264545905
2021-02-03,54904140803,132680714469/2,22872432863/2
2021-02-04,55285141436,66711351580,11426210144
2021-02-05,55993485552,67367681536,11374195984
2021-02-06,56032037141,134816019141/2,22751944859/2
2021-02-07,56039408907,134830762673/2,22751944859/2
2021-02-08,56403578698,67943209990,11539631292
2021-02-09,56403578698,67943209990,11539631292
2021-02-10,56403578698,67943209990,11539631292
2021-02-11,57195114020,137560821221/2,23170593181/2
2021-02-12,57621932244,138507771651/2,23263907163/2
2021-02-13,57650044241,138571879269/2,23271790787/2
2021-02-14,57655715889,138583222565/2,23271790787/2
2021-02-15,58767435035,71428668547,12661233512
2021-02-16,59121448150,71823683840,12702235690
2021-02-17,59490471642,146281751957/2,27300808673/2
