date,cycle_cohort_pmr_cents,path_cohort_pmr_cents,advantage_cents
2017-01-01,1688,1688,0
2017-01-02,1688,1688,0
2017-01-03,1688,1688,0
2017-01-04,604415,604415,0
2017-01-05,604415,608115,3700
2017-01-06,604415,608115,3700
2017-01-07,604415,608115,3700
2017-01-08,604415,608115,3700
2017-01-09,604415,608115,3700
2017-01-10,604415,608115,3700
2017-01-11,1357823,1746737,388914
2017-01-12,1760393,2149307,388914
2017-01-13,1760393,2149307,388914
2017-01-14,1760393,2149307,388914
2017-01-15,1760393,2149307,388914
2017-01-16,1760393,2151032,390639
2017-01-17,1760393,2164062,403669
2017-01-18,1760393,4524965/2,1004179/2
2017-01-19,1865131,5034441/2,1304179/2
2017-01-20,1865131,5034441/2,1304179/2
2017-01-21,1865131,5034441/2,1304179/2
2017-01-22,1865131,5034441/2,1304179/2
2017-01-23,1968725,5241629/2,1304179/2
2017-01-24,2244190,5792559/2,1304179/2
2017-01-25,2244190,5792559/2,1304179/2
2017-01-26,2997598,7299375/2,1304179/2
2017-01-27,3072154,7448487/2,1304179/2
2017-01-28,3072154,7448487/2,1304179/2
2017-01-29,3072154,7448487/2,1304179/2
2017-01-30,3072154,7448487/2,1304179/2
2017-01-31,12798597,13645000,846403
2017-02-01,253177047,289028275,35851228
2017-02-02,449468530,489437668,39969138
2017-02-03,449599311,489568449,39969138
2017-02-04,449599311,489568449,39969138
2017-02-05,449599311,489568449,39969138
2017-02-06,449599311,489568449,39969138
2017-02-07,449599311,489568449,39969138
2017-02-08,450157305,490126443,39969138
2017-02-09,452768963,492738101,39969138
2017-02-10,452768963,492738101,39969138
2017-02-11,452768963,492738101,39969138
2017-02-12,452768963,492738101,39969138
2017-02-13,452768963,492738101,39969138
2017-02-14,453875116,493945404,40070288
2017-02-15,553875116,1187905283/2,80155051/2
2017-02-16,553875116,1187905283/2,80155051/2
2017-02-17,553875116,1188205283/2,80455051/2
2017-02-18,553875116,1188205283/2,80455051/2
2017-02-19,553875116,1188205283/2,80455051/2
2017-02-20,553975570,1188406191/2,80455051/2
2017-02-21,553975570,1188406191/2,80455051/2
2017-02-22,554176478,1188817657/2,80464701/2
2017-02-23,554176478,1188817657/2,80464701/2
2017-02-24,554579080,1189622861/2,80464701/2
2017-02-25,554579080,1189622861/2,80464701/2
2017-02-26,554579080,1189622861/2,80464701/2
2017-02-27,554579080,594894169,40315089
2017-02-28,571979080,1225028395/2,81070235/2
2017-03-01,617579080,1316238045/2,81079885/2
2017-03-02,617579080,1316474503/2,81316343/2
2017-03-03,617579080,1316474503/2,81316343/2
2017-03-04,617579080,1316474503/2,81316343/2
2017-03-05,617579080,1316474503/2,81316343/2
2017-03-06,617579080,1316474503/2,81316343/2
2017-03-07,617579080,1316481403/2,81323243/2
2017-03-08,617579080,1316481403/2,81323243/2
2017-03-09,617579080,1316481403/2,81323243/2
2017-03-10,617579080,1316481403/2,81323243/2
2017-03-11,617579080,1316481403/2,81323243/2
2017-03-12,617579080,1316481403/2,81323243/2
2017-03-13,617579080,1316481403/2,81323243/2
2017-03-14,617870552,1343576513/2,107835409/2
2017-03-15,617870552,1344084219/2,108343115/2
2017-03-16,617870552,1344088079/2,108346975/2
2017-03-17,617870552,1344088079/2,108346975/2
2017-03-18,617870552,1344088079/2,108346975/2
2017-03-19,617870552,1344088079/2,108346975/2
2017-03-20,617870552,1344126679/2,108385575/2
2017-03-21,617870552,1344126679/2,108385575/2
2017-03-22,617870552,1344126679/2,108385575/2
2017-03-23,617870552,1344126679/2,108385575/2
2017-03-24,617923412,1344232399/2,108385575/2
2017-03-25,617923412,1344232399/2,108385575/2
2017-03-26,617923412,1344232399/2,108385575/2
2017-03-27,617923412,1344232399/2,108385575/2
2017-03-28,618889132,1346360107/2,108581843/2
2017-03-29,619265836,1347302685/2,108771013/2
2017-03-30,619265836,1347302685/2,108771013/2
2017-03-31,619265836,1347320133/2,108788461/2
2017-04-01,619265836,1347320133/2,108788461/2
2017-04-02,619265836,1347320133/2,108788461/2
2017-04-03,619265836,1347320133/2,108788461/2
2017-04-04,619265836,1347320133/2,108788461/2
2017-04-05,620164040,1349116541/2,108788461/2
2017-04-06,620164040,1349133101/2,108805021/2
2017-04-07,620164040,1349510133/2,109182053/2
2017-04-08,620164040,1349510133/2,109182053/2
2017-04-09,620164040,1349510133/2,109182053/2
2017-04-10,620164040,1349510133/2,109182053/2
2017-04-11,620317076,1349816205/2,109182053/2
2017-04-12,620317076,1349816205/2,109182053/2
2017-04-13,620317076,1350311655/2,109677503/2
2017-04-14,623233356,1356144215/2,109677503/2
2017-04-15,623233356,1356144215/2,109677503/2
2017-04-16,623233356,1356144215/2,109677503/2
2017-04-17,623233356,1356144215/2,109677503/2
2017-04-18,623311112,1356299727/2,109677503/2
2017-04-19,623311112,1356314493/2,109692269/2
2017-04-20,623328016,1356348301/2,109692269/2
2017-04-21,623995724,1357683717/2,109692269/2
2017-04-22,623995724,1357683717/2,109692269/2
2017-04-23,623995724,1357683717/2,109692269/2
2017-04-24,624029532,1357751333/2,109692269/2
2017-04-25,624566336,1358824941/2,109692269/2
2017-04-26,624571798,1358835865/2,109692269/2
2017-04-27,624822934,1359357437/2,109711569/2
2017-04-28,626299946,1362311461/2,109711569/2
2017-04-29,626299946,1362311461/2,109711569/2
2017-04-30,626299946,1362328349/2,109728457/2
2017-05-01,626299946,1362328349/2,109728457/2
2017-05-02,626299946,1362705971/2,110106079/2
2017-05-03,628785668,1367684315/2,110112979/2
2017-05-04,629279408,1368684215/2,110125399/2
2017-05-05,629279408,1368684215/2,110125399/2
2017-05-06,629279408,1368684215/2,110125399/2
2017-05-07,629279408,1368684215/2,110125399/2
2017-05-08,629595908,1369317215/2,110125399/2
2017-05-09,629608568,1369342535/2,110125399/2
2017-05-10,629608568,1369342535/2,110125399/2
2017-05-11,629779048,1369735233/2,110177137/2
2017-05-12,629779048,1369735233/2,110177137/2
2017-05-13,629779048,1369735233/2,110177137/2
2017-05-14,629779048,1369735233/2,110177137/2
2017-05-15,631042012,1372261161/2,110177137/2
2017-05-16,631168612,1372514361/2,110177137/2
2017-05-17,631168612,1372514361/2,110177137/2
2017-05-18,631412300,1373001737/2,110177137/2
2017-05-19,631412300,1373001737/2,110177137/2
2017-05-20,631412300,1373001737/2,110177137/2
2017-05-21,631412300,1373001737/2,110177137/2
2017-05-22,631699260,1373575657/2,110177137/2
2017-05-23,631889160,1373955457/2,110177137/2
2017-05-24,631889160,1373955457/2,110177137/2
