date,cycle_cohort_pmr_cents,path_cohort_pmr_cents,advantage_cents
2022-01-01,2331670,5009152,2677482
2022-01-02,2331670,5983402,3651732
2022-01-03,263150653,185213942,-77936711
2022-01-04,384351069,1155335539/2,386633401/2
2022-01-05,12485261511,30149364103/2,5178841081/2
2022-01-06,13410668217,31991382451/2,5170046017/2
2022-01-07,13513324191,16067969884,2554645693
2022-01-08,13514060920,32139687561/2,5111565721/2
2022-01-09,13514149164,32175273621/2,5146975293/2
2022-01-10,16452263282,18994492508,2542229226
2022-01-11,17390414930,39453912695/2,4673082835/2
2022-01-12,17587287984,39675535171/2,4500959203/2
2022-01-13,19818635532,21421854429,1603218897
2022-01-14,20503476293,44326447153/2,3319494567/2
2022-01-15,20726285002,44865883981/2,3413313977/2
2022-01-16,20728613257,22437860802,1709247545
2022-01-17,21926683137,24466018104,2539334967
2022-01-18,22046075426,49427281273/2,5335130421/2
2022-01-19,22427754078,50816772983/2,5961264827/2
2022-01-20,23972585047,54472366001/2,6527195907/2
2022-01-21,26861596137,31067257317,4205661180
2022-01-22,26864756552,62138170395/2,8408657291/2
2022-01-23,26865159248,62139844325/2,8409525829/2
2022-01-24,27049185692,62651764801/2,8553393417/2
2022-01-25,35856524939,79079627091/2,7366577213/2
2022-01-26,36492135071,40631258871,4139123800
2022-01-27,36616419433,81622784679/2,8389945813/2
2022-01-28,37065369432,83017760999/2,8887022135/2
2022-01-29,37082322243,83062046423/2,8897401937/2
2022-01-30,37087932143,83079590439/2,8903726153/2
2022-01-31,147899654807,359549993035/2,63750683421/2
2022-02-01,148523170919,368457413165/2,71411071327/2
2022-02-02,184032709742,453140761465/2,85075341981/2
2022-02-03,184163832991,226754022097,42590189106
2022-02-04,184881417305,454171739733/2,84408905123/2
2022-02-05,184892526758,454199991819/2,84414938303/2
2022-02-06,185432640556,455457808511/2,84592527399/2
2022-02-07,185541357003,456154641169/2,85071927163/2
2022-02-08,185639955816,456661929399/2,85382017767/2
2022-02-09,185758105455,457135083333/2,85618872423/2
2022-02-10,187113252520,234882975995,47769723475
2022-02-11,187286969808,235152775315,47865805507
2022-02-12,187298967543,235200568093,47901600550
2022-02-13,187298967543,235201232796,47902265253
2022-02-14,188424077706,236196409560,47772331854
2022-02-15,189660112312,237413344901,47753232589
2022-02-16,189971949390,237627110171,47655160781
2022-02-17,190384295987,238076066835,47691770848
2022-02-18,192123107578,239663953300,47540845722
2022-02-19,192125226723,239670663354,47545436631
2022-02-20,192132737073,239708750770,47576013697
2022-02-21,194274728653,241925747115,47651018462
2022-02-22,200494472460,248245779405,47751306945
2022-02-23,201778266764,250025703405,48247436641
2022-02-24,202717700593,250722326413,48004625820
2022-02-25,203509271400,251560079313,48050807913
2022-02-26,203513172567,251568033039,48054860472
2022-02-27,203521179533,251591047444,48069867911
2022-02-28,302868251101,362019111848,59150860747
2022-03-01,326556098648,372601860936,46045762288
2022-03-02,327272172702,373069781319,45797608617
2022-03-03,328595153339,374748681410,46153528071
2022-03-04,331995266849,378976249638,46980982789
2022-03-05,332003483931,379003870393,47000386462
2022-03-06,332598208451,379973385695,47375177244
2022-03-07,333708728203,381007717062,47298988859
2022-03-08,334270153388,386967658689,52697505301
2022-03-09,334644645932,387279764006,52635118074
2022-03-10,337376997439,389935610052,52558612613
2022-03-11,340140632077,395002502755,54861870678
2022-03-12,340148242483,395006590994,54858348511
2022-03-13,340149036927,395006590994,54857554067
2022-03-14,340600029444,395859357945,55259328501
2022-03-15,342328392357,397774872841,55446480484
2022-03-16,342932451963,398309999515,55377547552
2022-03-17,344072876036,399353499093,55280623057
2022-03-18,346122489739,401237404067,55114914328
2022-03-19,346140742021,401238704689,55097962668
2022-03-20,346143362495,401240559956,55097197461
2022-03-21,347619728830,402640931302,55021202472
2022-03-22,351292089260,406693414246,55401324986
2022-03-23,352143176269,407830644270,55687468001
2022-03-24,352454894603,408145859668,55690965065
2022-03-25,352969495174,408598417723,55628922549
2022-03-26,352977048768,408603750301,55626701533
2022-03-27,352977048768,408603750301,55626701533
2022-03-28,353627448414,409017688046,55390239632
2022-03-29,354347706186,409701193554,55353487368
2022-03-30,354622783388,410068875005,55446091617
2022-03-31,373220508456,450722774041,77502265585
2022-04-01,374001607338,453213806566,79212199228
2022-04-02,374011643254,453214648304,79203005050
2022-04-03,374022965602,453225970652,79203005050
2022-04-04,397573506506,483882833109,86309326603
2022-04-05,399039180948,490448387746,91409206798
2022-04-06,411326796099,496825971246,85499175147
2022-04-07,412040050225,497367068849,85327018624
2022-04-08,412532991442,498133367509,85600376067
2022-04-09,412593465444,498192965847,85599500403
2022-04-10,412593465444,498193600976,85600135532
2022-04-11,415470621405,499107029781,83636408376
2022-04-12,467395500389,551525105030,84129604641
2022-04-13,467879821094,552224665921,84344844827
2022-04-14,468136767857,552573006656,84436238799
2022-04-15,469614045077,553787547556,84173502479
2022-04-16,469618652189,553797614069,84178961880
2022-04-17,469619980817,553797614069,84177633252
2022-04-18,470885814305,555280519729,84394705424
2022-04-19,471394108946,555773613412,84379504466
2022-04-20,473052640665,557656251497,84603610832
2022-04-21,475049999861,561809638802,86759638941
2022-04-22,475368466396,561995603161,86627136765
2022-04-23,475370370634,561995603161,86625232527
2022-04-24,475370370634,561995806362,86625435728
2022-04-25,475382455876,562001932764,86619476888
2022-04-26,484612621383,569860562849,85247941466
2022-04-27,485922130743,571096864771,85174734028
2022-04-28,487528799771,572721994272,85193194501
2022-04-29,489441433718,574565273245,85123839527
2022-04-30,553291267035,646608199781,93316932746
2022-05-01,553306320157,646617039828,93310719671
2022-05-02,554027806986,647039372740,93011565754
2022-05-03,554364700476,647419102187,93054401711
2022-05-04,562896099557,655723681491,92827581934
2022-05-05,565505100458,656665202606,91160102148
2022-05-06,567976009329,660062763179,92086753850
2022-05-07,567977574509,660064314775,92086740266
2022-05-08,567991091541,660079859909,92088768368
2022-05-09,568961917045,661010073033,92048155988
2022-05-10,569819997956,665215435941,95395437985
2022-05-11,571676227638,666489131743,94812904105
2022-05-12,592566560260,683332664461,90766104201
2022-05-13,592681155766,683467615603,90786459837
2022-05-14,592697637152,683484096989,90786459837
2022-05-15,593199846214,684017520387,90817674173
2022-05-16,594569460906,685486127174,90916666268
2022-05-17,594749307341,685650685141,90901377800
2022-05-18,594992593343,685997362735,91004769392
2022-05-19,595984582449,686708447982,90723865533
2022-05-20,598533656090,689198449216,90664793126
2022-05-21,598774941648,689536428162,90761486514
2022-05-22,598778281612,689659944764,90881663152
2022-05-23,600209492465,690500723104,90291230639
2022-05-24,600767428257,692220629444,91453201187
2022-05-25,601434223527,693183577223,91749353696
2022-05-26,601553800852,693297872487,91744071635
2022-05-27,601972528582,693713726263,91741197681
2022-05-28,601974066594,693715264275,91741197681
2022-05-29,601975609708,693716807389,91741197681
2022-05-30,602382264582,694065287803,91683023221
2022-05-31,628372406205,724652265652,96279859447
2022-06-01,628407825237,724690062710,96282237473
2022-06-02,628824264223,725028436221,96204171998
2022-06-03,662457688993,767568975044,105111286051
2022-06-04,662458457441,767570565568,105112108127
2022-06-05,662461027785,767572071600,105111043815
2022-06-06,663360058589,768266048174,104905989585
2022-06-07,665754979635,770177732168,104422752533
2022-06-08,666755868145,771898255349,105142387204
2022-06-09,667777585504,772482348032,104704762528
2022-06-10,668623488551,773017392464,104393903913
2022-06-11,668902448941,773296352854,104393903913
2022-06-12,668905720179,773305372104,104399651925
2022-06-13,668912120563,773312392191,104400271628
2022-06-14,684490649359,788879333043,104388683684
2022-06-15,685786751471,790485850870,104699099399
2022-06-16,686028824429,791347240059,105318415630
2022-06-17,688142002231,793700614758,105558612527
2022-06-18,688143454111,793702066638,105558612527
2022-06-19,688144913251,793703525778,105558612527
2022-06-20,688191724695,793775577527,105583852832
2022-06-21,688767029763,794317071424,105550041661
2022-06-22,690008686125,825227920113,135219233988
2022-06-23,690559131913,825832659157,135273527244
2022-06-24,693460953249,828498276442,135037323193
2022-06-25,693460953249,828498276442,135037323193
2022-06-26,693460953249,828498276442,135037323193
2022-06-27,695473080585,829749386149,134276305564
2022-06-28,695560289045,829793351907,134233062862
2022-06-29,695940232165,830036463694,134096231529
2022-06-30,697958292999,832554381453,134596088454
2022-07-01,698727536507,833267789062,134540252555
2022-07-02,698727695379,833268802081,134541106702
2022-07-03,698727695379,833270030665,134542335286
2022-07-04,698839678260,833404835478,134565157218
2022-07-05,701770142652,837232253015,135462110363
2022-07-06,704709476048,840072145391,135362669343
2022-07-07,706504618382,842143965661,135639347279
2022-07-08,731402031937,865392165127,133990133190
2022-07-09,731402031937,865395742901,133993710964
2022-07-10,731402031937,865395742901,133993710964
2022-07-11,732523831252,866793188915,134269357663
2022-07-12,732746081518,866897379197,134151297679
2022-07-13,732970171256,867231214447,134261043191
2022-07-14,733613678624,868212618424,134598939800
2022-07-15,735479385764,870835866493,135356480729
2022-07-16,735742831310,871086722150,135343890840
2022-07-17,735742831310,871087138650,135344307340
2022-07-18,736320856941,871651218428,135330361487
2022-07-19,737016871546,872188434809,135171563263
2022-07-20,737503976970,872760500761,135256523791
2022-07-21,739125137323,874523595874,135398458551
2022-07-22,742465921947,876823041689,134357119742
2022-07-23,742465921947,876823331339,134357409392
2022-07-24,742465921947,876823331339,134357409392
2022-07-25,744782057608,878840426327,134058368719
2022-07-26,746793886196,880614709360,133820823164
2022-07-27,747116508856,881137053331,134020544475
2022-07-28,747915982169,881629411894,133713429725
2022-07-29,754796978122,888527119766,133730141644
2022-07-30,754925446812,888692867255,133767420443
2022-07-31,930125305654,1086281146209,156155840555
2022-08-01,931303164627,1088036522918,156733358291
2022-08-02,931631565277,1088390997767,156759432490
2022-08-03,931814477959,1088558674292,156744196333
2022-08-04,932265426003,1089213094306,156947668303
2022-08-05,935334368129,1092600957778,157266589649
2022-08-06,935876328875,1093171716575,157295387700
2022-08-07,935876328875,1093171991975,157295663100
2022-08-08,960953247150,1106313615721,145360368571
2022-08-09,961206182946,1106501694376,145295511430
2022-08-10,961964848934,1107061305573,145096456639
2022-08-11,962232709951,1107162539882,144929829931
2022-08-12,962568049080,1107554484396,144986435316
2022-08-13,962578698896,1107560204824,144981505928
2022-08-14,962578698896,1107560204824,144981505928
2022-08-15,963337784166,1108356688990,145018904824
2022-08-16,964073082634,1110295491836,146222409202
2022-08-17,983560546756,1129795228928,146234682172
2022-08-18,983934045196,1130170503728,146236458532
2022-08-19,984815844089,1131283745116,146467901027
2022-08-20,984821087145,1131299618475,146478531330
