date,cycle_cohort_pmr_cents,path_cohort_pmr_cents,advantage_cents
2023-01-01,25787610,14240062,-11547548
2023-01-02,36965395,89725061/2,15794271/2
2023-01-03,9034576904,9060429605,25852701
2023-01-04,20766116767,17020739396,-3745377371
2023-01-05,20827691990,17733098654,-3094593336
2023-01-06,20976431511,38380242539/2,-3572620483/2
2023-01-07,21226419485,38383965711/2,-4068873259/2
2023-01-08,21228558004,38387445609/2,-4069670399/2
2023-01-09,21395200329,19396693640,-1998506689
2023-01-10,22991496275,40025304021/2,-5957688529/2
2023-01-11,27084154290,20966315912,-6117838378
2023-01-12,35455306163,29749956426,-5705349737
2023-01-13,35784472908,30093937456,-5690535452
2023-01-14,35840958386,60220934111/2,-11460982661/2
2023-01-15,36129708707,60811139039/2,-11448278375/2
2023-01-16,36914728897,31713185236,-5201543661
2023-01-17,37311191799,31985561204,-5325630595
2023-01-18,37766814026,64486999135/2,-11046628917/2
2023-01-19,37971070913,32530406427,-5440664486
2023-01-20,39411182966,34916762386,-4494420580
2023-01-21,39551066767,35054313456,-4496753311
2023-01-22,39567709036,70109429575/2,-9025988497/2
2023-01-23,41869398740,75193012641/2,-8545784839/2
2023-01-24,41875384480,75263823375/2,-8486945585/2
2023-01-25,58467918928,104320157815/2,-12615680041/2
2023-01-26,61401630783,109277789791/2,-13525471775/2
2023-01-27,61809753741,55091795208,-6717958533
2023-01-28,61809753741,55091795208,-6717958533
2023-01-29,61809753741,55313440424,-6496313317
2023-01-30,62684039539,56237724461,-6446315078
2023-01-31,71160878532,84707321208,13546442676
2023-02-01,71924997707,85267578408,13342580701
2023-02-02,90167309034,205605414857/2,25270796789/2
2023-02-03,90374354003,206164102131/2,25415394125/2
2023-02-04,90390986537,206196507215/2,25414534141/2
2023-02-05,90392443809,206198581957/2,25413694339/2
2023-02-06,91680430768,206783869629/2,23423008093/2
2023-02-07,92038675122,109481889718,17443214596
2023-02-08,92986484314,110624445421,17637961107
2023-02-09,93292322335,110940019597,17647697262
2023-02-10,101813607228,238912815349/2,35285600893/2
2023-02-11,101945980762,239177902913/2,35285941389/2
2023-02-12,101945980762,239183257913/2,35291296389/2
2023-02-13,103879749138,240338695113/2,32579196837/2
2023-02-14,104454084964,120890697044,16436612080
2023-02-15,105549944920,244326424331/2,33226534491/2
2023-02-16,106181964245,246403786119/2,34039857629/2
2023-02-17,107255957129,124293938340,17037981211
2023-02-18,107257514121,248598610361/2,34083582119/2
2023-02-19,107258281937,248602219625/2,34085655751/2
2023-02-20,108501252757,251321729969/2,34319224455/2
2023-02-21,110365383015,254469474827/2,33738708797/2
2023-02-22,116330545713,133400640385,17070094672
2023-02-23,118016454189,269952627193/2,33919718815/2
2023-02-24,119645284333,136660619188,17015334855
2023-02-25,119645431449,136664023334,17018591885
2023-02-26,119749348377,136767940262,17018591885
2023-02-27,125346647385,284603837719/2,33910542949/2
2023-02-28,150251654236,368756506053/2,68253197581/2
2023-03-01,168242914287,404925519891/2,68439691317/2
2023-03-02,173052171375,414190015505/2,68085672755/2
2023-03-03,174549176566,417796062025/2,68697708893/2
2023-03-04,174553929490,417811122589/2,68703263609/2
2023-03-05,174555267134,417811596559/2,68701062291/2
2023-03-06,178760443629,425919307377/2,68398420119/2
2023-03-07,179291460190,427936172079/2,69353251699/2
2023-03-08,179594529142,428775641205/2,69586582921/2
2023-03-09,184604816658,439308386483/2,70098753167/2
2023-03-10,185603021636,443997373523/2,72791330251/2
2023-03-11,185631457412,444044923769/2,72782008945/2
2023-03-12,185631457412,444046577813/2,72783662989/2
2023-03-13,188153262369,445573673317/2,69267148579/2
2023-03-14,203045167724,475646135419/2,69555799971/2
2023-03-15,205201554636,480544101707/2,70140992435/2
2023-03-16,205593710995,481401404513/2,70213982523/2
2023-03-17,205821878575,482188851115/2,70545093965/2
2023-03-18,205821878575,482215846223/2,70572089073/2
2023-03-19,205827927211,482231615819/2,70575761397/2
2023-03-20,206170058224,482748127525/2,70408011077/2
2023-03-21,207172436188,485095785903/2,70750913527/2
2023-03-22,217213516259,505935597317/2,71508564799/2
2023-03-23,218302281467,509327599523/2,72723036589/2
2023-03-24,219142812751,512349385081/2,74063759579/2
2023-03-25,219168192029,512412033037/2,74075648979/2
2023-03-26,219168192029,512413560855/2,74077176797/2
2023-03-27,219407716403,512856265871/2,74040833065/2
2023-03-28,220039048288,515118893649/2,75040797073/2
2023-03-29,220600780544,516137690893/2,74936129805/2
2023-03-30,220859877555,516712964015/2,74993208905/2
2023-03-31,233770888228,550152994777/2,82611218321/2
2023-04-01,233928935908,550392392295/2,82534520479/2
2023-04-02,233935303742,550405209537/2,82534602053/2
2023-04-03,234604863450,551499342487/2,82289615587/2
2023-04-04,253735906901,590442580413/2,82970766611/2
2023-04-05,255261742469,594984959611/2,84461474673/2
2023-04-06,270755642852,626039808461/2,84528522757/2
2023-04-07,271464248820,629172016815/2,86243519175/2
2023-04-08,271492216392,629251802021/2,86267369237/2
2023-04-09,271492216392,629251802021/2,86267369237/2
2023-04-10,272855202694,631581935391/2,85871530003/2
2023-04-11,274976989117,633163745505/2,83209767271/2
2023-04-12,276678584100,636893889479/2,83536721279/2
2023-04-13,277084056444,637687067059/2,83518954171/2
2023-04-14,277113425712,638097370159/2,83870518735/2
2023-04-15,278368734004,640626607091/2,83889139083/2
2023-04-16,278369689132,640630376287/2,83890998023/2
2023-04-17,278369689132,640630376287/2,83890998023/2
2023-04-18,279097274613,642640452403/2,84445903177/2
2023-04-19,280226581660,644637617439/2,84184454119/2
2023-04-20,280827253155,646273637361/2,84619131051/2
2023-04-21,281385084600,646855512521/2,84085343321/2
2023-04-22,281394651760,646874369963/2,84085066443/2
2023-04-23,281410863978,646903555395/2,84081827439/2
2023-04-24,283439541996,652638197401/2,85759113409/2
2023-04-25,284681336539,655420914719/2,86058241641/2
2023-04-26,295910993120,678031570507/2,86209584267/2
2023-04-27,297484746036,679842968565/2,84873476493/2
2023-04-28,299983561066,685264766053/2,85297643921/2
2023-04-29,300077373168,685461573347/2,85306827011/2
2023-04-30,307290742197,728376712089/2,113795227695/2
2023-05-01,307469626779,728689125787/2,113749872229/2
2023-05-02,308330907215,730837373429/2,114175558999/2
2023-05-03,308927232669,731709595969/2,113855130631/2
2023-05-04,316431091980,749151340087/2,116289156127/2
2023-05-05,316911891128,750991745627/2,117167963371/2
2023-05-06,316914865226,751001034029/2,117171303577/2
2023-05-07,316920350092,751871393701/2,118030693517/2
2023-05-08,318767894570,753125978165/2,115590189025/2
2023-05-09,318941787245,753539980863/2,115656406373/2
2023-05-10,319839863869,755810251339/2,116130523601/2
