date,cycle_cohort_pmr_cents,path_cohort_pmr_cents,advantage_cents
2016-01-01,0,0,0
2016-01-02,0,0,0
2016-01-03,0,0,0
2016-01-04,0,0,0
2016-01-05,0,0,0
2016-01-06,433658,433658,0
2016-01-07,433658,433658,0
2016-01-08,433658,433658,0
2016-01-09,433658,433658,0
2016-01-10,433658,433658,0
2016-01-11,433658,454802,21144
2016-01-12,433658,522429,88771
2016-01-13,433658,522429,88771
2016-01-14,516658,605429,88771
2016-01-15,516658,605429,88771
2016-01-16,516658,605429,88771
2016-01-17,516658,605429,88771
2016-01-18,516658,605429,88771
2016-01-19,1478458,1567229,88771
2016-01-20,1478458,1567229,88771
2016-01-21,1478458,1567229,88771
2016-01-22,1478458,1567229,88771
2016-01-23,1478458,1567229,88771
2016-01-24,1478458,1567229,88771
2016-01-25,2171002,2259773,88771
2016-01-26,3338845,3427616,88771
2016-01-27,4054339,4143110,88771
2016-01-28,4671327,4760098,88771
2016-01-29,7721050,7809821,88771
2016-01-30,7721050,7809821,88771
2016-01-31,8467865,8556636,88771
2016-02-01,8467865,8556636,88771
2016-02-02,8467865,8556636,88771
2016-02-03,8467865,17208663/2,272933/2
2016-02-04,8467865,17208663/2,272933/2
2016-02-05,8941417,18155767/2,272933/2
2016-02-06,8941417,18155767/2,272933/2
2016-02-07,8941417,18155767/2,272933/2
2016-02-08,9416518,19105969/2,272933/2
2016-02-09,9883868,20040669/2,272933/2
2016-02-10,10352164,20977261/2,272933/2
2016-02-11,10806964,21886861/2,272933/2
2016-02-12,11378566,23030065/2,272933/2
2016-02-13,11378566,23030065/2,272933/2
2016-02-14,11378566,23030065/2,272933/2
2016-02-15,11844964,23962861/2,272933/2
2016-02-16,12297559,25868051/2,1272933/2
2016-02-17,12765648,26804229/2,1272933/2
2016-02-18,13240638,13925675,685037
2016-02-19,13702637,14387674,685037
2016-02-20,13702637,14387674,685037
2016-02-21,13702637,14387674,685037
2016-02-22,14152555,14837592,685037
2016-02-23,14620368,15305405,685037
2016-02-24,15085393,15770430,685037
2016-02-25,15556576,16241613,685037
2016-02-26,16000100,16685137,685037
2016-02-27,16000100,16685137,685037
2016-02-28,16000100,16685137,685037
2016-02-29,16991127,17676164,685037
2016-03-01,17891127,18577844,686717
2016-03-02,17891127,18577844,686717
2016-03-03,18737639,19424356,686717
2016-03-04,18737639,19424356,686717
2016-03-05,18737639,19424356,686717
2016-03-06,18737639,19424356,686717
2016-03-07,18737639,19424356,686717
2016-03-08,18737639,19424356,686717
2016-03-09,18737639,19424356,686717
2016-03-10,18737639,19424356,686717
2016-03-11,18737639,19424356,686717
2016-03-12,18737639,19424356,686717
2016-03-13,18737639,19424356,686717
2016-03-14,18737639,19424356,686717
2016-03-15,18737639,19424356,686717
2016-03-16,18737639,19424356,686717
2016-03-17,18737639,19424356,686717
2016-03-18,18737639,19424356,686717
2016-03-19,18737639,19424356,686717
2016-03-20,18737639,19424356,686717
2016-03-21,18737639,19424356,686717
2016-03-22,18737639,19424356,686717
2016-03-23,18737639,19424356,686717
2016-03-24,18737639,19424356,686717
2016-03-25,18737639,19424356,686717
2016-03-26,18737639,19424356,686717
2016-03-27,18737639,19424356,686717
2016-03-28,18737639,19424356,686717
2016-03-29,18737639,19424356,686717
2016-03-30,18913319,19600036,686717
2016-03-31,18913319,19600036,686717
2016-04-01,19896801,20583518,686717
2016-04-02,19896801,20583518,686717
2016-04-03,19896801,20583518,686717
2016-04-04,20888337,21575054,686717
2016-04-05,21440819,22127536,686717
2016-04-06,21635383,22322100,686717
2016-04-07,21635383,22322100,686717
2016-04-08,21635383,22322100,686717
2016-04-09,21635383,22322100,686717
2016-04-10,21635383,22322100,686717
2016-04-11,21635383,22322100,686717
2016-04-12,22295625,22982342,686717
2016-04-13,22525181,23211898,686717
2016-04-14,22525181,23211898,686717
2016-04-15,22525181,23211898,686717
2016-04-16,22525181,23211898,686717
2016-04-17,22525181,23211898,686717
2016-04-18,22525181,23211898,686717
2016-04-19,22525181,23211898,686717
2016-04-20,22525181,23211898,686717
2016-04-21,22525181,23211898,686717
2016-04-22,22525181,23211898,686717
2016-04-23,22525181,23211898,686717
2016-04-24,22525181,23211898,686717
2016-04-25,22525181,23211898,686717
2016-04-26,22525181,23211898,686717
2016-04-27,22525181,23211898,686717
2016-04-28,24025181,24711898,686717
2016-04-29,24025181,24711898,686717
2016-04-30,24025181,24711898,686717
2016-05-01,24025181,24711898,686717
2016-05-02,24025181,24711898,686717
2016-05-03,24025181,24711898,686717
2016-05-04,24025181,24711898,686717
2016-05-05,24025181,24711898,686717
2016-05-06,24025181,24711898,686717
2016-05-07,24025181,24711898,686717
2016-05-08,24025181,24711898,686717
2016-05-09,24025181,24711898,686717
2016-05-10,24025181,24711898,686717
2016-05-11,24025181,24711898,686717
2016-05-12,24025181,24711898,686717
2016-05-13,24244387,24931104,686717
2016-05-14,24244387,24931104,686717
2016-05-15,24244387,24931104,686717
2016-05-16,24244387,24931104,686717
2016-05-17,24244387,24931104,686717
2016-05-18,24244387,24931104,686717
2016-05-19,24244387,24931104,686717
2016-05-20,24331905,25018622,686717
2016-05-21,24331905,25018622,686717
2016-05-22,24331905,25018622,686717
2016-05-23,24331905,25164872,832967
2016-05-24,24331905,25164872,832967
2016-05-25,24331905,25164872,832967
2016-05-26,24331905,25164872,832967
2016-05-27,24331905,81538802,57206897
2016-05-28,24331905,81538802,57206897
2016-05-29,24331905,81538802,57206897
2016-05-30,24331905,81538802,57206897
2016-05-31,24331905,81538802,57206897
2016-06-01,24331905,81538802,57206897
2016-06-02,24331905,84112802,59780897
2016-06-03,24331905,84112802,59780897
2016-06-04,24331905,84112802,59780897
2016-06-05,24331905,84112802,59780897
2016-06-06,24331905,84112802,59780897
2016-06-07,24331905,84112802,59780897
2016-06-08,24331905,84112802,59780897
2016-06-09,24331905,84112802,59780897
2016-06-10,24331905,84112802,59780897
2016-06-11,24331905,84112802,59780897
2016-06-12,24331905,84112802,59780897
2016-06-13,24331905,84112802,59780897
2016-06-14,24412639,84193536,59780897
2016-06-15,24412639,84193536,59780897
2016-06-16,24794393,84575290,59780897
2016-06-17,24794393,84575290,59780897
2016-06-18,24794393,84575290,59780897
2016-06-19,24794393,84575290,59780897
2016-06-20,24794393,84575290,59780897
2016-06-21,24794393,84575290,59780897
2016-06-22,24794393,84575290,59780897
2016-06-23,24794393,84575290,59780897
2016-06-24,24794393,84575290,59780897
2016-06-25,24794393,84575290,59780897
2016-06-26,24794393,84575290,59780897
2016-06-27,24794393,84575290,59780897
2016-06-28,24794393,84575290,59780897
2016-06-29,24794393,84575290,59780897
2016-06-30,26065931,85846828,59780897
2016-07-01,26065931,85846828,59780897
2016-07-02,26065931,85846828,59780897
2016-07-03,26065931,85846828,59780897
2016-07-04,26065931,85846828,59780897
2016-07-05,26065931,85846828,59780897
2016-07-06,26065931,85846828,59780897
