date,cycle_cohort_pmr_cents,path_cohort_pmr_cents,advantage_cents
2019-01-01,12973714,12973714,0
2019-01-02,12973714,12973714,0
2019-01-03,15000511,14051185,-949326
2019-01-04,15051459,14102133,-949326
2019-01-05,15051459,14102133,-949326
2019-01-06,15051459,14102133,-949326
2019-01-07,15246605,28586965/2,-1906245/2
2019-01-08,15321755,15446901,125146
2019-01-09,16135325,16212049,76724
2019-01-10,16187135,16237954,50819
2019-01-11,16989973,16759663,-230310
2019-01-12,16989973,16759663,-230310
2019-01-13,16989973,16759663,-230310
2019-01-14,18618623,63173493/2,25936247/2
2019-01-15,22318139,67234511/2,22598233/2
2019-01-16,25960938,71292519/2,19370643/2
2019-01-17,27531740,74389903/2,19326423/2
2019-01-18,28124307,76376907/2,20128293/2
2019-01-19,28124307,76376907/2,20128293/2
2019-01-20,28124307,76376907/2,20128293/2
2019-01-21,29217711,39323184,10105473
2019-01-22,30204775,40575944,10371169
2019-01-23,31052678,82786335/2,20680979/2
2019-01-24,31902598,84486175/2,20680979/2
2019-01-25,32256385,87818219/2,23305449/2
2019-01-26,32256385,87818219/2,23305449/2
2019-01-27,32256385,87818219/2,23305449/2
2019-01-28,35340503,94820233/2,24139227/2
2019-01-29,35900904,48401196,12500292
2019-01-30,38434557,102023349/2,25154235/2
2019-01-31,76367384,125618095,49250711
2019-02-01,91668544,140951627,49283083
2019-02-02,91668544,140951627,49283083
2019-02-03,91668544,140951627,49283083
2019-02-04,256355441,305577402,49221961
2019-02-05,329639990,761703729/2,102423749/2
2019-02-06,330495670,767095809/2,106104469/2
2019-02-07,333689395,386746576,53057181
2019-02-08,333759442,387253168,53493726
2019-02-09,333861544,387999301,54137757
2019-02-10,333861544,387999301,54137757
2019-02-11,333923289,776060347/2,108213769/2
2019-02-12,334458058,806014591/2,137098475/2
2019-02-13,338746366,814568645/2,137075913/2
2019-02-14,339294817,408166409,68871592
2019-02-15,339739354,817177195/2,137698487/2
2019-02-16,339739354,817177195/2,137698487/2
2019-02-17,339739354,817177195/2,137698487/2
2019-02-18,339825061,412976170,73151109
2019-02-19,340395306,833636765/2,152846153/2
2019-02-20,349060009,839726341/2,141606323/2
2019-02-21,368807390,436467365,67659975
2019-02-22,371831894,887864539/2,144200751/2
2019-02-23,371831894,887864539/2,144200751/2
2019-02-24,371831894,887864539/2,144200751/2
2019-02-25,374307807,446729318,72421511
2019-02-26,375507485,446974153,71466668
2019-02-27,379290114,902147505/2,143567277/2
2019-02-28,555767628,1397194075/2,285658819/2
2019-03-01,556676838,1401517501/2,288163825/2
2019-03-02,558064862,1408927199/2,292797475/2
2019-03-03,558064862,1408927199/2,292797475/2
2019-03-04,560736066,1414336685/2,292864553/2
2019-03-05,560828886,1416267495/2,294609723/2
2019-03-06,566724530,1430223545/2,296774485/2
2019-03-07,568649770,1434138083/2,296838543/2
2019-03-08,570310476,1437549829/2,296928877/2
2019-03-09,570310476,1437549829/2,296928877/2
2019-03-10,570310476,1437549829/2,296928877/2
2019-03-11,588340244,1469515937/2,292835449/2
2019-03-12,588521124,1476447399/2,299405151/2
2019-03-13,590851798,1481280859/2,299577263/2
2019-03-14,592767200,1485281205/2,299746805/2
2019-03-15,593094552,1486435327/2,300246223/2
2019-03-16,593094552,1486435327/2,300246223/2
2019-03-17,593094552,1486435327/2,300246223/2
2019-03-18,599440374,1509085185/2,310204437/2
2019-03-19,607211386,1525610089/2,311187317/2
2019-03-20,609998302,1529015999/2,309019395/2
2019-03-21,614496350,1538285307/2,309292607/2
2019-03-22,651521534,1614744339/2,311701271/2
2019-03-23,651521534,1614744339/2,311701271/2
2019-03-24,651521534,1614744339/2,311701271/2
2019-03-25,656589874,3280563131/2,1967383383/2
2019-03-26,682772978,3332929339/2,1967383383/2
2019-03-27,700264275,3375480649/2,1974952099/2
2019-03-28,719180369,3417166529/2,1978805791/2
2019-03-29,751817775,3515030243/2,2011394693/2
2019-03-30,788142335,3587679363/2,2011394693/2
2019-03-31,792617071,3765359003/2,2180124861/2
2019-04-01,795226317,3773164663/2,2182712029/2
2019-04-02,799713015,3782217393/2,2182791363/2
2019-04-03,805286731,3799290125/2,2188716663/2
2019-04-04,806165061,3815944397/2,2203614275/2
2019-04-05,815606237,3835214963/2,2204002489/2
2019-04-06,815606237,3835214963/2,2204002489/2
2019-04-07,815606237,3835214963/2,2204002489/2
2019-04-08,816545985,3837047599/2,2203955629/2
2019-04-09,820271479,3838446975/2,2197904017/2
2019-04-10,831530341,3861150555/2,2198089873/2
2019-04-11,832586994,3862796421/2,2197622433/2
2019-04-12,839749778,4069659087/2,2390159531/2
2019-04-13,839749778,4069659087/2,2390159531/2
2019-04-14,839749778,4069659087/2,2390159531/2
2019-04-15,852037678,4094893797/2,2390818441/2
2019-04-16,860230708,4111279857/2,2390818441/2
2019-04-17,861038360,4161429291/2,2439352571/2
2019-04-18,867959656,4175494091/2,2439574779/2
2019-04-19,868016980,4177075485/2,2441041525/2
2019-04-20,868016980,4177075485/2,2441041525/2
2019-04-21,868016980,4177075485/2,2441041525/2
2019-04-22,869213906,4179996745/2,2441568933/2
2019-04-23,877770992,4200621169/2,2445079185/2
2019-04-24,892229460,4236743039/2,2452284119/2
2019-04-25,892363452,4240944983/2,2456218079/2
2019-04-26,892471742,4243505867/2,2458562383/2
2019-04-27,892471742,4243505867/2,2458562383/2
2019-04-28,892471742,4243505867/2,2458562383/2
2019-04-29,892471742,4243505867/2,2458562383/2
2019-04-30,998010640,4676092463/2,2680071183/2
2019-05-01,999689082,4679786387/2,2680408223/2
2019-05-02,1000896344,4685012417/2,2683219729/2
2019-05-03,1000970386,4689096221/2,2687155449/2
2019-05-04,1000970386,4689096221/2,2687155449/2
2019-05-05,1000970386,4689096221/2,2687155449/2
2019-05-06,1002112810,4691912093/2,2687686473/2
2019-05-07,1002673524,4741002785/2,2735655737/2
2019-05-08,1003066006,4743491943/2,2737359931/2
2019-05-09,1012751114,4763801887/2,2738299659/2
2019-05-10,1016353474,4767221409/2,2734514461/2
2019-05-11,1016461764,4786437567/2,2753514039/2
2019-05-12,1016557282,4786592263/2,2753477699/2
2019-05-13,1018544684,4791447447/2,2754358079/2
2019-05-14,1024216658,4797133291/2,2748699975/2
