date,cycle_cohort_pmr_cents,path_cohort_pmr_cents,advantage_cents
2020-01-01,186135891,218126787,31990896
2020-01-02,229438635,261529060,32090425
2020-01-03,617513893,423596062,-193917831
2020-01-04,622472755,431216643,-191256112
2020-01-05,654678320,503992598,-150685722
2020-01-06,2093943292,1716234801,-377708491
2020-01-07,2311210897,2133187924,-178022973
2020-01-08,2402735449,2943086180,540350731
2020-01-09,4765481194,5614861057,849379863
2020-01-10,5164121499,6071986303,907864804
2020-01-11,5167319624,12155293201/2,1820653953/2
2020-01-12,5167434862,12162989187/2,1828119463/2
2020-01-13,5497736402,13113175779/2,2117702975/2
2020-01-14,5748672619,14044054073/2,2546708835/2
2020-01-15,6957660989,7941835174,984174185
2020-01-16,7201994500,17382821909/2,2978832909/2
2020-01-17,7420263267,18307658453/2,3467131919/2
2020-01-18,7436510538,18343338665/2,3470317589/2
2020-01-19,7436524490,18814260677/2,3941211697/2
2020-01-20,8692465676,10990835615,2298369939
2020-01-21,9180921861,22964538649/2,4602694927/2
2020-01-22,10910482753,13086479008,2175996255
2020-01-23,12276942994,14996191589,2719248595
2020-01-24,12297124861,15033768602,2736643741
2020-01-25,12312391158,30098043707/2,5473261391/2
2020-01-26,12317730416,30113864249/2,5478403417/2
2020-01-27,13687002951,32768784121/2,5394778219/2
2020-01-28,14546094316,17457428276,2911333960
2020-01-29,15144861330,18138989273,2994127943
2020-01-30,15516924727,18599216964,3082292237
2020-01-31,41432963936,100548178631/2,17682250759/2
2020-02-01,41619392215,50531759580,8912367365
2020-02-02,41631278119,50544668890,8913390771
2020-02-03,42395928960,51221806788,8825877828
2020-02-04,42986772474,103378014783/2,17404469835/2
2020-02-05,44121659433,105108940877/2,16865622011/2
2020-02-06,46628761690,113120357553/2,19862834173/2
2020-02-07,47194933323,57015038685,9820105362
2020-02-08,47195290749,57015277755,9819987006
2020-02-09,47196568437,57016423135,9819854698
2020-02-10,47483227315,57408937687,9925710372
2020-02-11,47766032949,115615306949/2,20083241051/2
2020-02-12,48052325671,58247769213,10195443542
2020-02-13,48408407256,58707265908,10298858652
2020-02-14,49116419544,59762996224,10646576680
2020-02-15,49613182574,120384717797/2,21158352649/2
2020-02-16,49655118412,120420178589/2,21109941765/2
2020-02-17,50583102750,122784358563/2,21618153063/2
2020-02-18,51049663267,123861590295/2,21762263761/2
2020-02-19,51757651603,62392857410,10635205807
2020-02-20,55091980933,64937066039,9845085106
2020-02-21,59352922371,138703619379/2,19997774637/2
2020-02-22,59366478177,138731569381/2,19998613027/2
2020-02-23,59467244905,138756314947/2,19821825137/2
2020-02-24,60773780564,142637419957/2,21089858829/2
